start,end,duration
1号线莘庄,1号线外环路,120
1号线外环路,1号线莲花路,120
1号线莲花路,1号线锦江乐园,180
1号线上海南站,1号线漕宝路,120
1号线漕宝路,1号线上海体育馆,180
1号线上海体育馆,1号线徐家汇,120
1号线徐家汇,1号线衡山路,120
1号线衡山路,1号线常熟路,120
1号线常熟路,1号线陕西南路,120
1号线陕西南路,1号线黄陂南路,180
1号线黄陂南路,1号线人民广场,180
1号线人民广场,1号线新闸路,60
1号线新闸路,1号线汉中路,120
1号线汉中路,1号线上海火车站,180
1号线上海火车站,1号线中山北路,120
1号线中山北路,1号线延长路,180
1号线延长路,1号线上海马戏城,120
1号线上海马戏城,1号线汶水路,120
1号线汶水路,1号线彭浦新村,180
1号线彭浦新村,1号线共康路,180
1号线共康路,1号线通河新村,120
1号线通河新村,1号线呼兰路,180
1号线呼兰路,1号线共富新村,120
1号线共富新村,1号线宝安公路,180
1号线宝安公路,1号线友谊西路,120
1号线友谊西路,1号线富锦路,120
1号线莘庄,1号线外环路,120
1号线外环路,1号线莲花路,120
1号线莲花路,1号线锦江乐园,180
1号线上海南站,1号线漕宝路,120
1号线漕宝路,1号线上海体育馆,180
1号线上海体育馆,1号线徐家汇,120
1号线徐家汇,1号线衡山路,120
1号线衡山路,1号线常熟路,120
1号线常熟路,1号线陕西南路,120
1号线陕西南路,1号线黄陂南路,180
1号线黄陂南路,1号线人民广场,180
1号线人民广场,1号线新闸路,60
1号线新闸路,1号线汉中路,120
1号线汉中路,1号线上海火车站,120
2号线徐泾东,2号线虹桥火车站,120
2号线虹桥火车站,2号线虹桥2号航站楼,120
2号线虹桥2号航站楼,2号线淞虹路,420
2号线淞虹路,2号线北新泾,180
2号线北新泾,2号线威宁路,120
2号线威宁路,2号线娄山关路,180
2号线娄山关路,2号线中山公园,180
2号线中山公园,2号线江苏路,180
2号线江苏路,2号线静安寺,180
2号线静安寺,2号线南京西路,120
2号线南京西路,2号线人民广场,120
2号线人民广场,2号线南京东路,180
2号线南京东路,2号线陆家嘴,180
2号线陆家嘴,2号线东昌路,120
2号线东昌路,2号线世纪大道,120
2号线世纪大道,2号线上海科技馆,180
2号线上海科技馆,2号线世纪公园,180
2号线世纪公园,2号线龙阳路,60
2号线张江高科,2号线金科路,120
2号线金科路,2号线广兰路,180
2号线唐镇,2号线创新中路,180
2号线创新中路,2号线华夏东路,180
2号线华夏东路,2号线川沙,300
2号线川沙,2号线凌空路,180
2号线凌空路,2号线远东大道,300
2号线远东大道,2号线海天三路,420
2号线海天三路,2号线浦东国际机场,180
2号线徐泾东,2号线虹桥火车站,180
2号线虹桥火车站,2号线虹桥2号航站楼,120
2号线虹桥2号航站楼,2号线淞虹路,420
2号线淞虹路,2号线北新泾,120
2号线北新泾,2号线威宁路,120
2号线威宁路,2号线娄山关路,180
2号线娄山关路,2号线中山公园,180
2号线中山公园,2号线江苏路,120
2号线江苏路,2号线静安寺,180
2号线静安寺,2号线南京西路,180
2号线南京西路,2号线人民广场,180
2号线人民广场,2号线南京东路,120
2号线南京东路,2号线陆家嘴,180
2号线陆家嘴,2号线东昌路,120
2号线东昌路,2号线世纪大道,180
2号线世纪大道,2号线上海科技馆,180
2号线上海科技馆,2号线世纪公园,120
2号线世纪公园,2号线龙阳路,120
2号线龙阳路,2号线张江高科,240
2号线张江高科,2号线金科路,180
2号线广兰路,2号线唐镇,240
2号线唐镇,2号线创新中路,240
2号线创新中路,2号线华夏东路,180
2号线华夏东路,2号线川沙,240
2号线川沙,2号线凌空路,240
2号线凌空路,2号线远东大道,300
2号线远东大道,2号线海天三路,420
2号线海天三路,2号线浦东国际机场,180
3号线上海南站,3号线石龙路,120
3号线石龙路,3号线龙漕路,180
3号线龙漕路,3号线漕溪路,120
3号线漕溪路,3号线宜山路,180
3号线宜山路,3号线虹桥路,120
3号线虹桥路,3号线延安西路,180
3号线延安西路,3号线中山公园,120
3号线中山公园,3号线金沙江路,180
3号线金沙江路,3号线曹杨路,120
3号线曹杨路,3号线镇坪路,180
3号线镇坪路,3号线中潭路,120
3号线中潭路,3号线上海火车站,180
3号线上海火车站,3号线宝山路,240
3号线宝山路,3号线东宝兴路,120
3号线东宝兴路,3号线虹口足球场,120
3号线虹口足球场,3号线赤峰路,180
3号线赤峰路,3号线大柏树,120
3号线大柏树,3号线江湾镇,180
3号线江湾镇,3号线殷高西路,120
3号线殷高西路,3号线长江南路,180
3号线长江南路,3号线淞发路,180
3号线淞发路,3号线张华浜,120
3号线张华浜,3号线淞滨路,180
3号线淞滨路,3号线水产路,120
3号线水产路,3号线宝杨路,180
3号线宝杨路,3号线友谊路,120
3号线友谊路,3号线铁力路,180
3号线铁力路,3号线江杨北路,180
3号线上海南站,3号线石龙路,120
3号线石龙路,3号线龙漕路,120
3号线龙漕路,3号线漕溪路,180
3号线漕溪路,3号线宜山路,120
3号线宜山路,3号线虹桥路,180
3号线虹桥路,3号线延安西路,120
3号线延安西路,3号线中山公园,180
3号线中山公园,3号线金沙江路,120
3号线金沙江路,3号线曹杨路,120
3号线曹杨路,3号线镇坪路,180
3号线镇坪路,3号线中潭路,180
3号线中潭路,3号线上海火车站,180
3号线上海火车站,3号线宝山路,180
3号线宝山路,3号线东宝兴路,120
3号线东宝兴路,3号线虹口足球场,180
3号线虹口足球场,3号线赤峰路,120
3号线赤峰路,3号线大柏树,120
3号线大柏树,3号线江湾镇,180
3号线江湾镇,3号线殷高西路,180
3号线殷高西路,3号线长江南路,180
3号线长江南路,3号线淞发路,180
3号线淞发路,3号线张华浜,180
3号线张华浜,3号线淞滨路,120
3号线淞滨路,3号线水产路,120
3号线水产路,3号线宝杨路,180
3号线宝杨路,3号线友谊路,120
3号线友谊路,3号线铁力路,180
3号线铁力路,3号线江杨北路,180
4号线宜山路,4号线虹桥路,180
4号线虹桥路,4号线延安西路,120
4号线延安西路,4号线中山公园,120
4号线中山公园,4号线金沙江路,180
4号线金沙江路,4号线曹杨路,120
4号线曹杨路,4号线镇坪路,180
4号线镇坪路,4号线中潭路,120
4号线中潭路,4号线上海火车站,180
4号线上海火车站,4号线宝山路,240
4号线宝山路,4号线海伦路,180
4号线海伦路,4号线临平路,120
4号线临平路,4号线大连路,120
4号线大连路,4号线杨树浦路,120
4号线杨树浦路,4号线浦东大道,120
4号线浦东大道,4号线世纪大道,180
4号线世纪大道,4号线浦电路,120
4号线浦电路,4号线蓝村路,120
4号线蓝村路,4号线塘桥,180
4号线塘桥,4号线南浦大桥,180
4号线南浦大桥,4号线西藏南路,120
4号线西藏南路,4号线鲁班路,120
4号线鲁班路,4号线大木桥路,180
4号线大木桥路,4号线东安路,120
4号线东安路,4号线上海体育场,120
4号线上海体育馆,4号线宜山路,120
4号线虹桥路,4号线延安西路,120
4号线延安西路,4号线中山公园,180
4号线中山公园,4号线金沙江路,120
4号线金沙江路,4号线曹杨路,120
4号线曹杨路,4号线镇坪路,180
4号线镇坪路,4号线中潭路,180
4号线中潭路,4号线上海火车站,180
4号线上海火车站,4号线宝山路,180
4号线宝山路,4号线海伦路,180
4号线海伦路,4号线临平路,120
4号线临平路,4号线大连路,180
4号线大连路,4号线杨树浦路,120
4号线杨树浦路,4号线浦东大道,120
4号线浦东大道,4号线世纪大道,180
4号线世纪大道,4号线浦电路,120
4号线浦电路,4号线蓝村路,120
4号线蓝村路,4号线塘桥,120
4号线塘桥,4号线南浦大桥,240
4号线南浦大桥,4号线西藏南路,120
4号线西藏南路,4号线鲁班路,180
4号线鲁班路,4号线大木桥路,120
4号线大木桥路,4号线东安路,120
4号线东安路,4号线上海体育场,120
5号线莘庄,5号线春申路,120
5号线春申路,5号线银都路,120
5号线银都路,5号线颛桥,240
5号线颛桥,5号线北桥,240
5号线北桥,5号线剑川路,180
5号线剑川路,5号线东川路,120
5号线东川路,5号线江川路,300
5号线江川路,5号线西渡,360
5号线西渡,5号线萧塘,180
5号线萧塘,5号线奉浦大道,180
5号线奉浦大道,5号线环城东路,240
5号线环城东路,5号线望园路,120
5号线望园路,5号线金海湖,180
5号线金海湖,5号线奉贤新城,120
5号线莘庄,5号线春申路,180
5号线春申路,5号线银都路,120
5号线银都路,5号线颛桥,180
5号线颛桥,5号线北桥,240
5号线北桥,5号线剑川路,180
5号线剑川路,5号线东川路,120
5号线东川路,5号线江川路,240
5号线江川路,5号线西渡,360
5号线西渡,5号线萧塘,180
5号线萧塘,5号线奉浦大道,240
5号线奉浦大道,5号线环城东路,180
5号线环城东路,5号线望园路,180
5号线望园路,5号线金海湖,120
5号线金海湖,5号线奉贤新城,120
6号线东方体育中心,6号线灵岩南路,120
6号线灵岩南路,6号线上南路,120
6号线上南路,6号线华夏西路,120
6号线华夏西路,6号线高青路,120
6号线高青路,6号线东明路,180
6号线东明路,6号线高科西路,120
6号线高科西路,6号线临沂新村,180
6号线临沂新村,6号线上海儿童医学中心,120
6号线上海儿童医学中心,6号线蓝村路,180
6号线蓝村路,6号线浦电路,120
6号线浦电路,6号线世纪大道,180
6号线世纪大道,6号线源深体育中心,120
6号线源深体育中心,6号线民生路,180
6号线民生路,6号线北洋泾路,120
6号线北洋泾路,6号线德平路,120
6号线德平路,6号线云山路,180
6号线云山路,6号线金桥路,120
6号线金桥路,6号线博兴路,120
6号线博兴路,6号线五莲路,180
6号线五莲路,6号线巨峰路,120
6号线巨峰路,6号线东靖路,120
6号线东靖路,6号线五洲大道,120
6号线五洲大道,6号线洲海路,120
6号线洲海路,6号线外高桥保税区南站,180
6号线外高桥保税区南站,6号线航津路,180
6号线航津路,6号线外高桥保税区北站,180
6号线外高桥保税区北站,6号线港城路,120
6号线东方体育中心,6号线灵岩南路,120
6号线灵岩南路,6号线上南路,120
6号线上南路,6号线华夏西路,120
6号线华夏西路,6号线高青路,180
6号线高青路,6号线东明路,120
6号线东明路,6号线高科西路,180
6号线高科西路,6号线临沂新村,120
6号线临沂新村,6号线上海儿童医学中心,180
6号线上海儿童医学中心,6号线蓝村路,180
6号线蓝村路,6号线浦电路,120
6号线浦电路,6号线世纪大道,180
6号线世纪大道,6号线源深体育中心,120
6号线源深体育中心,6号线民生路,120
6号线民生路,6号线北洋泾路,120
6号线北洋泾路,6号线德平路,180
6号线德平路,6号线云山路,120
6号线云山路,6号线金桥路,180
6号线金桥路,6号线博兴路,120
6号线博兴路,6号线五莲路,120
6号线五莲路,6号线巨峰路,120
6号线巨峰路,6号线东靖路,180
6号线东靖路,6号线五洲大道,120
6号线五洲大道,6号线洲海路,120
6号线洲海路,6号线外高桥保税区南站,180
6号线外高桥保税区南站,6号线航津路,180
6号线航津路,6号线外高桥保税区北站,120
6号线外高桥保税区北站,6号线港城路,180
7号线美兰湖,7号线罗南新村,120
7号线罗南新村,7号线潘广路,240
7号线潘广路,7号线刘行,180
7号线刘行,7号线顾村公园,180
7号线祁华路,7号线上海大学,120
7号线上海大学,7号线南陈路,120
7号线南陈路,7号线上大路,120
7号线上大路,7号线场中路,180
7号线场中路,7号线大场镇,120
7号线大场镇,7号线行知路,120
7号线行知路,7号线大华三路,120
7号线大华三路,7号线新村路,120
7号线新村路,7号线岚皋路,120
7号线岚皋路,7号线镇坪路,180
7号线镇坪路,7号线长寿路,180
7号线长寿路,7号线昌平路,120
7号线昌平路,7号线静安寺,120
7号线静安寺,7号线常熟路,120
7号线常熟路,7号线肇嘉浜路,180
7号线肇嘉浜路,7号线东安路,120
7号线东安路,7号线龙华中路,120
7号线龙华中路,7号线后滩,240
7号线后滩,7号线长清路,120
7号线长清路,7号线耀华路,120
7号线耀华路,7号线云台路,120
7号线云台路,7号线高科西路,120
7号线高科西路,7号线杨高南路,180
7号线杨高南路,7号线锦绣路,120
7号线锦绣路,7号线芳华路,120
7号线芳华路,7号线龙阳路,240
7号线龙阳路,7号线花木路,120
7号线美兰湖,7号线罗南新村,120
7号线罗南新村,7号线潘广路,240
7号线潘广路,7号线刘行,120
7号线刘行,7号线顾村公园,180
7号线顾村公园,7号线祁华路,180
7号线祁华路,7号线上海大学,180
7号线上海大学,7号线南陈路,180
7号线南陈路,7号线上大路,120
7号线上大路,7号线场中路,120
7号线场中路,7号线大场镇,180
7号线大场镇,7号线行知路,120
7号线行知路,7号线大华三路,120
7号线大华三路,7号线新村路,120
7号线新村路,7号线岚皋路,120
7号线岚皋路,7号线镇坪路,180
7号线镇坪路,7号线长寿路,120
7号线长寿路,7号线昌平路,120
7号线昌平路,7号线静安寺,180
7号线静安寺,7号线常熟路,120
7号线常熟路,7号线肇嘉浜路,180
7号线肇嘉浜路,7号线东安路,120
7号线东安路,7号线龙华中路,120
7号线龙华中路,7号线后滩,180
7号线后滩,7号线长清路,120
7号线长清路,7号线耀华路,120
7号线耀华路,7号线云台路,120
7号线云台路,7号线高科西路,120
7号线高科西路,7号线杨高南路,180
7号线杨高南路,7号线锦绣路,120
7号线锦绣路,7号线芳华路,180
7号线芳华路,7号线龙阳路,120
7号线龙阳路,7号线花木路,180
8号线沈杜公路,8号线联航路,120
8号线联航路,8号线江月路,120
8号线江月路,8号线浦江镇,120
8号线浦江镇,8号线芦恒路,240
8号线芦恒路,8号线凌兆新村,180
8号线凌兆新村,8号线东方体育中心,180
8号线东方体育中心,8号线杨思,180
8号线杨思,8号线成山路,120
8号线成山路,8号线耀华路,120
8号线耀华路,8号线中华艺术宫,120
8号线中华艺术宫,8号线西藏南路,120
8号线西藏南路,8号线陆家浜路,180
8号线陆家浜路,8号线老西门,120
8号线老西门,8号线大世界,120
8号线大世界,8号线人民广场,60
8号线人民广场,8号线曲阜路,180
8号线曲阜路,8号线中兴路,120
8号线中兴路,8号线西藏北路,120
8号线西藏北路,8号线虹口足球场,180
8号线虹口足球场,8号线曲阳路,120
8号线曲阳路,8号线四平路,120
8号线四平路,8号线鞍山新村,120
8号线鞍山新村,8号线江浦路,120
8号线江浦路,8号线黄兴路,120
8号线黄兴路,8号线延吉中路,180
8号线延吉中路,8号线黄兴公园,120
8号线黄兴公园,8号线翔殷路,120
8号线翔殷路,8号线嫩江路,120
8号线嫩江路,8号线市光路,60
8号线沈杜公路,8号线联航路,120
8号线联航路,8号线江月路,120
8号线江月路,8号线浦江镇,120
8号线浦江镇,8号线芦恒路,240
8号线芦恒路,8号线凌兆新村,180
8号线凌兆新村,8号线东方体育中心,240
8号线东方体育中心,8号线杨思,120
8号线杨思,8号线成山路,120
8号线成山路,8号线耀华路,120
8号线耀华路,8号线中华艺术宫,120
8号线中华艺术宫,8号线西藏南路,180
8号线西藏南路,8号线陆家浜路,120
8号线陆家浜路,8号线老西门,120
8号线老西门,8号线大世界,120
8号线大世界,8号线人民广场,120
8号线人民广场,8号线曲阜路,120
8号线曲阜路,8号线中兴路,120
8号线中兴路,8号线西藏北路,180
8号线西藏北路,8号线虹口足球场,120
8号线虹口足球场,8号线曲阳路,180
8号线曲阳路,8号线四平路,120
8号线四平路,8号线鞍山新村,120
8号线鞍山新村,8号线江浦路,120
8号线江浦路,8号线黄兴路,120
8号线黄兴路,8号线延吉中路,120
8号线延吉中路,8号线黄兴公园,120
8号线黄兴公园,8号线翔殷路,120
8号线翔殷路,8号线嫩江路,120
8号线嫩江路,8号线市光路,120
9号线沈杜公路,9号线联航路,120
9号线联航路,9号线江月路,120
9号线江月路,9号线浦江镇,120
9号线浦江镇,9号线芦恒路,240
9号线芦恒路,9号线凌兆新村,180
9号线凌兆新村,9号线东方体育中心,180
9号线东方体育中心,9号线杨思,180
9号线杨思,9号线成山路,120
9号线成山路,9号线耀华路,120
9号线耀华路,9号线中华艺术宫,120
9号线中华艺术宫,9号线西藏南路,120
